AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A00001,C00001,06/06/2024,Rear-end hit at traffic light,4100.0,Severe
A00002,C00002,23/05/2025,Accident on slippery road,2773.0,Minor
A00003,C00002,12/01/2023,Rear quarter panel dent,2341.0,Minor
A00007,C00005,16/01/2024,Damage from pothole incident,1590.0,Severe
A00008,C00005,03/05/2021,Scratched paint on rear bumper,4031.0,Severe
A00011,C00007,16/08/2024,Collision with pole,3164.0,Moderate
A00012,C00007,01/12/2024,Scratched paint on rear bumper,312.0,Severe
A00013,C00007,31/10/2022,Front bumper scrape,1574.0,Severe
A00014,C00008,31/12/2024,Minor collision at roundabout,3771.0,Severe
A00015,C00008,27/11/2021,Hood dent from minor crash,529.0,Major
A00016,C00008,20/04/2024,Rear-end hit at traffic light,4644.0,Moderate
A00019,C00012,11/08/2024,Fender scratch from curb,2596.0,Moderate
A00020,C00012,18/03/2023,Tire puncture during accident,3002.0,Moderate
A00021,C00012,15/09/2024,Windshield damage,4124.0,Moderate
A00023,C00014,14/04/2025,Collision with pole,4110.0,Moderate
A00024,C00014,21/01/2025,Scratched paint on rear bumper,2271.0,Moderate
A00025,C00014,29/03/2023,Minor parking lot accident,4376.0,Moderate
A00039,C00024,28/06/2021,Accident on slippery road,3118.0,Major
A00040,C00024,04/12/2021,Rear quarter panel dent,4772.0,Major
A00041,C00024,06/02/2023,Minor collision at roundabout,3883.0,Severe
A00057,C00034,10/11/2024,Front-end collision,345.0,Severe
A00058,C00034,29/11/2022,Scratched paint on rear bumper,2656.0,Moderate
A00063,C00039,30/04/2023,Tire puncture during accident,4183.0,Minor
A00064,C00039,22/09/2022,Rear bumper collision,1953.0,Severe
A00065,C00039,13/02/2021,Fender scratch from curb,4753.0,Moderate
A00068,C00041,22/01/2023,Rear-end hit at traffic light,1466.0,Major
A00071,C00044,05/07/2021,Hood dent from minor crash,2202.0,Moderate
A00072,C00044,22/09/2020,Door dent from tight parking,3295.0,Moderate
A00080,C00050,12/12/2020,Windshield damage,1684.0,Minor
A00081,C00050,27/05/2021,Rear bumper collision,4761.0,Major
A00082,C00053,18/07/2021,Rear quarter panel dent,2557.0,Minor
A00083,C00053,05/12/2021,Parking lot scrape,1889.0,Severe
A00084,C00053,16/01/2023,Collision with pole,1490.0,Major
A00094,C00062,11/06/2022,Front-end collision,822.0,Moderate
A00095,C00062,08/10/2022,Minor parking lot accident,181.0,Moderate
A00096,C00062,28/03/2025,Minor parking lot accident,1273.0,Minor
A00097,C00063,28/07/2024,Side panel scratch,460.0,Moderate
A00098,C00063,09/12/2021,Parking lot scrape,2791.0,Major
A00108,C00071,24/04/2021,Hood dent from minor crash,3874.0,Moderate
A00109,C00072,23/04/2023,Parking lot scrape,1547.0,Severe
A00120,C00081,16/10/2022,Hood dent from minor crash,1819.0,Severe
A00121,C00081,21/12/2023,Minor parking lot accident,1603.0,Minor
A00127,C00084,29/06/2024,Front bumper scrape,4166.0,Moderate
A00128,C00084,18/01/2022,Minor parking lot accident,4135.0,Moderate
A00135,C00087,10/02/2025,Head-on collision,3209.0,Minor
A00136,C00087,03/02/2023,Front bumper scrape,729.0,Minor
A00140,C00091,12/05/2022,Side panel scratch,1770.0,Major
A00148,C00097,21/12/2024,Scratched paint on rear bumper,2241.0,Minor
A00149,C00099,27/03/2025,Minor fender bender,4637.0,Severe
A00150,C00099,23/01/2025,Fender scratch from curb,3436.0,Minor
A00151,C00099,15/11/2021,Rear-end hit at traffic light,3177.0,Minor
A00167,C00108,10/03/2022,Collision with pole,1958.0,Minor
A00168,C00108,10/04/2025,Windshield damage,4567.0,Major
A00169,C00108,22/04/2025,Collision with pole,2835.0,Major
A00170,C00110,03/10/2022,Side swipe from passing vehicle,1947.0,Severe
A00171,C00110,11/01/2022,Hood dent from minor crash,3447.0,Major
A00172,C00111,17/01/2021,Rear bumper collision,3472.0,Minor
A00173,C00111,06/09/2022,Side panel scratch,4233.0,Major
A00193,C00121,24/04/2022,Side swipe from passing vehicle,991.0,Moderate
A00207,C00131,12/01/2025,Rear quarter panel dent,2075.0,Major
A00210,C00135,04/08/2025,Parking lot scrape,3943.0,Minor
A00211,C00135,25/12/2023,Side panel scratch,2572.0,Severe
A00212,C00135,18/12/2024,Damage from pothole incident,1341.0,Major
A00227,C00148,27/11/2022,Minor parking lot accident,271.0,Major
A00228,C00148,20/02/2025,Front-end collision,3320.0,Minor
A00233,C00151,01/08/2022,Accident on slippery road,4723.0,Minor
A00236,C00153,09/02/2022,Windshield damage,3069.0,Moderate
A00257,C00168,14/09/2022,Rear quarter panel dent,4357.0,Severe
A00258,C00168,06/02/2022,Front-end collision,1715.0,Major
A00266,C00182,19/04/2025,Damage from pothole incident,1317.0,Severe
A00267,C00182,24/09/2021,Accident on slippery road,4598.0,Severe
A00272,C00187,28/12/2024,Side swipe from passing vehicle,1640.0,Minor
A00273,C00187,20/12/2023,Minor parking lot accident,1020.0,Moderate
A00288,C00195,22/09/2024,Damage from pothole incident,138.0,Minor
A00289,C00195,13/11/2022,Rear bumper collision,1013.0,Major
A00290,C00197,04/01/2021,Tire puncture during accident,3442.0,Severe
A00291,C00197,04/02/2021,Collision with pole,1531.0,Severe
A00292,C00197,18/06/2025,Rear bumper collision,2031.0,Minor
A00293,C00199,15/11/2022,Damage from pothole incident,4904.0,Moderate
A00294,C00199,25/11/2021,Side swipe from passing vehicle,230.0,Severe
A00295,C00200,14/12/2023,Front bumper scrape,2625.0,Moderate
A00296,C00201,23/11/2023,Rear bumper collision,1999.0,Severe
A00303,C00205,29/10/2021,Hood dent from minor crash,331.0,Moderate
A00304,C00205,05/04/2022,Minor collision at roundabout,1249.0,Minor
A00305,C00205,09/08/2023,Fender scratch from curb,4713.0,Major
A00316,C00220,14/09/2024,Rear quarter panel dent,2822.0,Moderate
A00317,C00220,10/08/2025,Scratched paint on rear bumper,1998.0,Minor
A00318,C00220,17/10/2021,Parking lot scrape,1248.0,Major
A00330,C00226,18/10/2024,Side swipe from passing vehicle,2869.0,Moderate
A00331,C00227,01/12/2020,Front bumper scrape,308.0,Severe
A00332,C00227,29/07/2025,Hood dent from minor crash,1736.0,Moderate
A00340,C00232,18/11/2022,Front bumper scrape,185.0,Moderate
A00352,C00240,22/01/2022,Minor collision at roundabout,3312.0,Severe
A00353,C00240,07/11/2021,Windshield damage,1139.0,Severe
A00357,C00242,30/06/2021,Parking lot scrape,4169.0,Minor
A00358,C00242,11/09/2024,Damage from pothole incident,766.0,Major
A00359,C00242,14/05/2025,Side panel scratch,4046.0,Major
A00372,C00252,23/09/2020,Accident on slippery road,4247.0,Moderate
A00373,C00252,11/09/2024,Front-end collision,1558.0,Moderate
A00374,C00252,31/08/2022,Minor parking lot accident,2403.0,Severe
A00375,C00253,14/06/2025,Windshield damage,4931.0,Moderate
A00387,C00262,30/11/2023,Side swipe from passing vehicle,2597.0,Moderate
A00388,C00262,30/11/2022,Hood dent from minor crash,1332.0,Severe
A00389,C00262,16/11/2023,Head-on collision,1771.0,Minor
A00390,C00263,01/05/2022,Door dent from tight parking,2718.0,Moderate
A00391,C00263,08/12/2021,Rear bumper collision,225.0,Severe
