CarID,FeatureName
C00001,Cruise Control
C00001,Heated Seats
C00001,Sunroof
C00002,Air Conditioning
C00002,Navigation
C00005,Bluetooth
C00005,Navigation
C00005,Sunroof
C00007,Air Conditioning
C00007,Cruise Control
C00008,Air Conditioning
C00008,Heated Seats
C00008,Navigation
C00008,Sunroof
C00012,Sunroof
C00014,Air Conditioning
C00014,Bluetooth
C00014,Sunroof
C00024,Cruise Control
C00024,Sunroof
C00034,Bluetooth
C00034,Cruise Control
C00034,Navigation
C00039,Air Conditioning
C00039,Navigation
C00039,Sunroof
C00041,Air Conditioning
C00041,Cruise Control
C00041,Heated Seats
C00044,Heated Seats
C00050,Navigation
C00053,Heated Seats
C00053,Navigation
C00062,Bluetooth
C00062,Cruise Control
C00062,Heated Seats
C00062,Navigation
C00063,Air Conditioning
C00071,Cruise Control
C00071,Heated Seats
C00071,Navigation
C00071,Sunroof
C00072,Bluetooth
C00076,Heated Seats
C00076,Sunroof
C00081,Air Conditioning
C00081,Heated Seats
C00081,Navigation
C00084,Air Conditioning
C00084,Navigation
C00087,Air Conditioning
C00087,Bluetooth
C00087,Heated Seats
C00087,Sunroof
C00091,Bluetooth
C00091,Cruise Control
C00091,Navigation
C00091,Sunroof
C00097,Cruise Control
C00099,Navigation
C00104,Air Conditioning
C00104,Bluetooth
C00104,Cruise Control
C00104,Heated Seats
C00108,Air Conditioning
C00108,Bluetooth
C00108,Cruise Control
C00108,Heated Seats
C00109,Air Conditioning
C00109,Bluetooth
C00109,Heated Seats
C00109,Sunroof
C00110,Bluetooth
C00110,Cruise Control
C00110,Sunroof
C00111,Bluetooth
C00111,Heated Seats
C00111,Sunroof
C00117,Bluetooth
C00121,Air Conditioning
C00121,Navigation
C00129,Air Conditioning
C00129,Heated Seats
C00129,Sunroof
C00131,Air Conditioning
C00131,Cruise Control
C00135,Air Conditioning
C00135,Heated Seats
C00135,Sunroof
C00145,Cruise Control
C00145,Navigation
C00145,Sunroof
C00148,Air Conditioning
C00148,Navigation
C00151,Sunroof
C00153,Heated Seats
C00158,Bluetooth
C00158,Cruise Control
C00158,Heated Seats
C00158,Sunroof
C00168,Air Conditioning
C00168,Navigation
C00172,Air Conditioning
C00172,Heated Seats
C00172,Navigation
C00174,Bluetooth
C00174,Cruise Control
C00174,Heated Seats
C00174,Navigation
C00177,Air Conditioning
C00177,Bluetooth
C00181,Heated Seats
C00181,Sunroof
C00182,Air Conditioning
C00182,Heated Seats
C00182,Navigation
C00182,Sunroof
C00183,Sunroof
C00187,Air Conditioning
C00187,Heated Seats
C00187,Navigation
C00187,Sunroof
C00195,Bluetooth
C00195,Navigation
C00195,Sunroof
C00196,Cruise Control
C00196,Heated Seats
C00196,Navigation
C00196,Sunroof
C00197,Air Conditioning
C00197,Heated Seats
C00199,Air Conditioning
C00200,Air Conditioning
C00200,Cruise Control
C00200,Heated Seats
C00200,Sunroof
C00201,Bluetooth
C00201,Navigation
C00201,Sunroof
C00205,Cruise Control
C00205,Heated Seats
C00205,Navigation
C00211,Cruise Control
C00211,Heated Seats
C00211,Navigation
C00215,Bluetooth
C00215,Navigation
C00215,Sunroof
C00217,Cruise Control
C00217,Navigation
C00217,Sunroof
C00218,Bluetooth
C00220,Bluetooth
C00220,Cruise Control
C00226,Cruise Control
C00226,Sunroof
C00227,Air Conditioning
C00227,Heated Seats
C00227,Navigation
C00227,Sunroof
C00232,Bluetooth
C00234,Cruise Control
C00234,Heated Seats
C00234,Navigation
C00234,Sunroof
C00240,Bluetooth
C00240,Cruise Control
C00242,Navigation
C00249,Bluetooth
C00249,Heated Seats
C00251,Air Conditioning
C00251,Bluetooth
C00251,Heated Seats
C00251,Navigation
C00252,Air Conditioning
C00252,Bluetooth
C00252,Navigation
C00252,Sunroof
C00253,Air Conditioning
C00253,Cruise Control
C00253,Heated Seats
C00253,Navigation
C00262,Air Conditioning
C00262,Heated Seats
C00262,Sunroof
C00263,Sunroof
C00264,Bluetooth
C00264,Cruise Control
C00264,Sunroof
C00267,Air Conditioning
C00267,Bluetooth
C00267,Navigation
C00268,Air Conditioning
C00268,Heated Seats
C00268,Navigation
C00269,Air Conditioning
C00269,Bluetooth
C00269,Sunroof
C00274,Air Conditioning
C00275,Cruise Control
C00275,Sunroof
C00278,Bluetooth
C00278,Sunroof
C00279,Heated Seats
C00279,Navigation
C00279,Sunroof
C00280,Air Conditioning
C00280,Bluetooth
C00280,Heated Seats
C00280,Navigation
C00281,Cruise Control
C00281,Navigation
C00284,Navigation
C00286,Air Conditioning
C00286,Navigation
C00290,Air Conditioning
C00290,Bluetooth
C00293,Air Conditioning
C00293,Bluetooth
C00293,Cruise Control
C00293,Heated Seats
C00298,Air Conditioning
C00298,Bluetooth
C00298,Navigation
C00298,Sunroof
C00305,Heated Seats
C00309,Air Conditioning
C00309,Cruise Control
C00309,Heated Seats
C00309,Navigation
C00310,Air Conditioning
C00310,Cruise Control
C00310,Heated Seats
C00310,Navigation
C00312,Bluetooth
C00312,Sunroof
C00313,Air Conditioning
C00313,Bluetooth
C00313,Navigation
C00314,Air Conditioning
C00315,Air Conditioning
C00315,Navigation
C00315,Sunroof
C00317,Air Conditioning
C00317,Heated Seats
C00317,Navigation
C00318,Air Conditioning
C00318,Bluetooth
C00318,Cruise Control
C00323,Cruise Control
C00323,Sunroof
C00324,Cruise Control
C00325,Cruise Control
C00325,Navigation
C00325,Sunroof
C00327,Air Conditioning
C00327,Cruise Control
C00327,Heated Seats
C00331,Navigation
C00333,Sunroof
C00342,Air Conditioning
C00342,Cruise Control
C00342,Heated Seats
C00342,Navigation
C00343,Cruise Control
C00344,Bluetooth
C00345,Bluetooth
C00345,Cruise Control
C00345,Navigation
C00345,Sunroof
C00352,Air Conditioning
C00352,Bluetooth
C00352,Cruise Control
C00352,Navigation
C00354,Cruise Control
C00354,Heated Seats
C00355,Air Conditioning
C00355,Cruise Control
C00355,Heated Seats
C00355,Navigation
C00370,Air Conditioning
C00370,Navigation
C00374,Air Conditioning
C00374,Bluetooth
C00374,Cruise Control
C00374,Sunroof
C00375,Bluetooth
C00375,Cruise Control
C00378,Bluetooth
C00384,Air Conditioning
C00386,Air Conditioning
C00386,Bluetooth
C00397,Bluetooth
C00397,Heated Seats
C00399,Navigation
C00399,Sunroof
C00400,Air Conditioning
C00400,Bluetooth
C00400,Cruise Control
C00400,Navigation
C00408,Cruise Control
C00408,Sunroof
C00409,Air Conditioning
C00409,Cruise Control
C00409,Navigation
C00410,Air Conditioning
C00410,Sunroof
C00417,Bluetooth
C00417,Cruise Control
C00417,Navigation
C00417,Sunroof
C00420,Air Conditioning
C00424,Air Conditioning
C00424,Cruise Control
C00424,Navigation
C00424,Sunroof
C00427,Air Conditioning
C00429,Cruise Control
C00430,Bluetooth
C00430,Heated Seats
C00430,Sunroof
C00431,Heated Seats
C00432,Air Conditioning
C00432,Navigation
C00432,Sunroof
C00437,Cruise Control
C00437,Navigation
C00438,Navigation
C00438,Sunroof
C00439,Navigation
C00439,Sunroof
C00442,Heated Seats
C00445,Bluetooth
C00448,Bluetooth
C00448,Cruise Control
C00453,Cruise Control
C00455,Bluetooth
C00455,Navigation
C00458,Air Conditioning
C00458,Bluetooth
C00458,Cruise Control
C00458,Heated Seats
C00461,Air Conditioning
C00461,Cruise Control
C00461,Heated Seats
C00463,Heated Seats
C00465,Cruise Control
C00465,Heated Seats
C00465,Navigation
C00465,Sunroof
C00466,Bluetooth
C00466,Sunroof
C00469,Sunroof
C00470,Cruise Control
C00470,Sunroof
C00471,Navigation
C00471,Sunroof
C00472,Navigation
C00476,Air Conditioning
C00476,Bluetooth
C00476,Cruise Control
C00476,Navigation
C00477,Air Conditioning
C00477,Cruise Control
C00477,Navigation
C00477,Sunroof
C00480,Air Conditioning
C00480,Bluetooth
C00480,Cruise Control
C00480,Sunroof
C00481,Bluetooth
C00481,Cruise Control
C00483,Bluetooth
C00483,Cruise Control
C00483,Heated Seats
C00483,Sunroof
C00485,Cruise Control
C00485,Navigation
C00485,Sunroof
C00492,Bluetooth
C00492,Cruise Control
C00495,Bluetooth
C00495,Cruise Control
C00495,Heated Seats
C00495,Navigation
C00499,Bluetooth
C00499,Navigation
C00499,Sunroof
C00500,Air Conditioning
C00500,Heated Seats
C00502,Cruise Control
C00502,Heated Seats
C00502,Navigation
C00506,Navigation
C00509,Cruise Control
C00509,Navigation
C00509,Sunroof
C00510,Air Conditioning
C00510,Bluetooth
C00510,Cruise Control
C00513,Air Conditioning
C00513,Bluetooth
C00513,Cruise Control
C00513,Navigation
C00517,Air Conditioning
C00517,Bluetooth
C00517,Cruise Control
C00517,Heated Seats
C00518,Bluetooth
C00522,Air Conditioning
C00522,Cruise Control
C00522,Navigation
C00524,Air Conditioning
C00524,Bluetooth
C00524,Cruise Control
C00533,Cruise Control
C00533,Heated Seats
C00533,Navigation
C00537,Bluetooth
C00539,Cruise Control
C00539,Navigation
C00539,Sunroof
C00543,Cruise Control
C00543,Heated Seats
C00543,Navigation
C00544,Air Conditioning
C00544,Bluetooth
C00544,Sunroof
C00551,Air Conditioning
C00551,Bluetooth
C00551,Navigation
C00551,Sunroof
C00555,Bluetooth
C00555,Cruise Control
C00555,Sunroof
C00559,Air Conditioning
C00559,Bluetooth
C00559,Heated Seats
C00559,Sunroof
C00565,Air Conditioning
C00565,Cruise Control
C00565,Heated Seats
C00565,Sunroof
C00567,Cruise Control
C00567,Heated Seats
C00567,Navigation
C00567,Sunroof
C00574,Air Conditioning
C00574,Bluetooth
C00574,Cruise Control
C00575,Bluetooth
C00575,Cruise Control
C00579,Bluetooth
C00580,Air Conditioning
C00580,Bluetooth
C00580,Heated Seats
C00580,Sunroof
C00582,Bluetooth
C00582,Heated Seats
C00582,Navigation
C00582,Sunroof
C00585,Navigation
C00585,Sunroof
C00586,Bluetooth
C00586,Cruise Control
C00586,Heated Seats
C00586,Navigation
C00587,Cruise Control
C00587,Navigation
C00587,Sunroof
C00589,Air Conditioning
C00589,Bluetooth
C00589,Navigation
C00589,Sunroof
C00594,Air Conditioning
C00594,Bluetooth
C00594,Cruise Control
C00594,Sunroof
C00597,Air Conditioning
C00597,Bluetooth
C00597,Heated Seats
C00601,Air Conditioning
C00601,Heated Seats
C00601,Navigation
C00609,Air Conditioning
C00609,Bluetooth
C00609,Navigation
C00609,Sunroof
C00610,Sunroof
C00617,Air Conditioning
C00617,Sunroof
C00619,Heated Seats
C00622,Heated Seats
C00622,Navigation
C00624,Heated Seats
C00625,Air Conditioning
C00625,Heated Seats
C00625,Sunroof
C00626,Air Conditioning
C00626,Heated Seats
C00626,Navigation
C00629,Air Conditioning
C00629,Cruise Control
C00629,Navigation
C00629,Sunroof
C00631,Bluetooth
C00631,Cruise Control
C00631,Heated Seats
C00631,Navigation
C00632,Bluetooth
C00641,Cruise Control
C00645,Bluetooth
C00645,Cruise Control
C00645,Heated Seats
C00645,Navigation
C00647,Bluetooth
C00647,Cruise Control
C00647,Heated Seats
C00647,Navigation
C00648,Cruise Control
C00648,Heated Seats
C00648,Navigation
C00648,Sunroof
C00649,Navigation
C00652,Air Conditioning
C00656,Cruise Control
C00658,Heated Seats
C00658,Sunroof
C00660,Bluetooth
C00660,Cruise Control
C00660,Navigation
C00665,Bluetooth
C00665,Sunroof
C00673,Air Conditioning
C00673,Bluetooth
C00673,Cruise Control
C00673,Heated Seats
C00674,Heated Seats
C00677,Air Conditioning
C00677,Heated Seats
C00682,Bluetooth
C00682,Cruise Control
C00683,Air Conditioning
C00683,Bluetooth
C00683,Cruise Control
C00683,Sunroof
C00687,Cruise Control
C00703,Air Conditioning
C00703,Heated Seats
C00703,Navigation
C00703,Sunroof
C00709,Bluetooth
C00710,Air Conditioning
C00710,Cruise Control
C00710,Heated Seats
C00710,Sunroof
C00711,Bluetooth
C00711,Cruise Control
C00711,Sunroof
C00724,Air Conditioning
C00724,Cruise Control
C00724,Heated Seats
C00725,Bluetooth
C00725,Navigation
C00726,Bluetooth
C00726,Navigation
C00726,Sunroof
C00730,Air Conditioning
C00730,Bluetooth
C00730,Cruise Control
C00730,Sunroof
C00734,Air Conditioning
C00734,Sunroof
C00735,Bluetooth
C00737,Air Conditioning
C00737,Bluetooth
C00737,Heated Seats
C00737,Sunroof
C00739,Bluetooth
C00739,Heated Seats
C00739,Navigation
C00741,Bluetooth
C00741,Heated Seats
C00741,Sunroof
C00742,Air Conditioning
C00742,Bluetooth
C00742,Heated Seats
C00742,Navigation
C00743,Air Conditioning
C00743,Bluetooth
C00743,Cruise Control
C00743,Sunroof
C00746,Navigation
C00746,Sunroof
C00747,Air Conditioning
C00747,Bluetooth
C00747,Heated Seats
C00748,Air Conditioning
C00748,Cruise Control
C00748,Navigation
C00749,Cruise Control
C00751,Bluetooth
C00755,Heated Seats
C00757,Air Conditioning
C00757,Bluetooth
C00757,Heated Seats
C00757,Navigation
C00759,Air Conditioning
C00759,Cruise Control
C00759,Heated Seats
C00759,Navigation
C00769,Heated Seats
C00771,Cruise Control
C00771,Heated Seats
C00771,Sunroof
C00772,Bluetooth
C00772,Navigation
C00773,Air Conditioning
C00773,Cruise Control
C00773,Heated Seats
C00773,Sunroof
C00774,Air Conditioning
C00774,Bluetooth
C00774,Navigation
C00774,Sunroof
C00775,Air Conditioning
C00775,Bluetooth
C00775,Heated Seats
C00775,Navigation
C00777,Sunroof
C00780,Air Conditioning
C00780,Cruise Control
C00780,Navigation
C00792,Air Conditioning
C00792,Bluetooth
C00792,Heated Seats
C00792,Navigation
C00794,Cruise Control
C00794,Heated Seats
C00794,Navigation
C00801,Cruise Control
C00801,Navigation
C00803,Air Conditioning
C00803,Heated Seats
C00803,Navigation
C00811,Cruise Control
C00811,Heated Seats
C00811,Navigation
C00811,Sunroof
C00812,Cruise Control
C00812,Heated Seats
C00817,Air Conditioning
C00817,Sunroof
C00822,Air Conditioning
C00822,Navigation
C00826,Air Conditioning
C00826,Bluetooth
C00826,Cruise Control
C00828,Air Conditioning
C00828,Bluetooth
C00828,Navigation
C00832,Bluetooth
C00832,Cruise Control
C00832,Navigation
C00832,Sunroof
C00840,Navigation
C00843,Bluetooth
C00843,Heated Seats
C00843,Navigation
C00843,Sunroof
C00844,Cruise Control
C00844,Sunroof
C00845,Air Conditioning
C00845,Bluetooth
C00845,Cruise Control
C00848,Bluetooth
C00848,Navigation
C00849,Heated Seats
C00849,Navigation
C00849,Sunroof
C00851,Air Conditioning
C00851,Cruise Control
C00851,Navigation
C00854,Cruise Control
C00854,Heated Seats
C00858,Heated Seats
C00862,Air Conditioning
C00863,Air Conditioning
C00867,Heated Seats
C00867,Sunroof
C00874,Navigation
C00875,Heated Seats
C00875,Navigation
C00875,Sunroof
C00880,Air Conditioning
C00880,Cruise Control
C00880,Heated Seats
C00880,Sunroof
C00884,Air Conditioning
C00884,Bluetooth
C00885,Cruise Control
C00885,Navigation
C00891,Air Conditioning
C00891,Cruise Control
C00891,Navigation
C00891,Sunroof
C00893,Bluetooth
C00893,Cruise Control
C00893,Heated Seats
C00897,Bluetooth
C00899,Air Conditioning
C00899,Cruise Control
C00899,Heated Seats
C00899,Navigation
C00903,Cruise Control
C00905,Air Conditioning
C00905,Navigation
C00905,Sunroof
C00912,Cruise Control
C00912,Sunroof
C00914,Cruise Control
C00915,Bluetooth
C00915,Cruise Control
C00915,Heated Seats
C00915,Navigation
C00919,Sunroof
C00920,Cruise Control
C00920,Sunroof
C00924,Bluetooth
C00924,Navigation
C00924,Sunroof
C00927,Bluetooth
C00927,Cruise Control
C00927,Sunroof
C00928,Air Conditioning
C00928,Bluetooth
C00928,Cruise Control
C00928,Heated Seats
C00929,Air Conditioning
C00931,Air Conditioning
C00931,Heated Seats
C00931,Navigation
C00931,Sunroof
C00933,Bluetooth
C00933,Navigation
C00937,Air Conditioning
C00937,Navigation
C00939,Navigation
C00940,Cruise Control
C00940,Heated Seats
C00940,Navigation
C00941,Cruise Control
C00944,Cruise Control
C00950,Bluetooth
C00950,Cruise Control
C00950,Navigation
C00950,Sunroof
C00951,Air Conditioning
C00951,Navigation
C00952,Bluetooth
C00952,Cruise Control
C00952,Heated Seats
C00952,Navigation
C00954,Air Conditioning
C00954,Bluetooth
C00954,Cruise Control
C00954,Sunroof
C00958,Air Conditioning
C00958,Heated Seats
C00958,Sunroof
C00960,Air Conditioning
C00960,Cruise Control
C00960,Sunroof
C00961,Cruise Control
C00961,Navigation
C00961,Sunroof
C00962,Bluetooth
C00963,Sunroof
C00967,Air Conditioning
C00967,Bluetooth
C00967,Heated Seats
C00967,Navigation
C00968,Air Conditioning
C00972,Cruise Control
C00972,Navigation
C00972,Sunroof
C00978,Bluetooth
C00978,Heated Seats
C00978,Navigation
C00978,Sunroof
C00980,Cruise Control
C00980,Navigation
C00986,Bluetooth
C00986,Cruise Control
C00986,Navigation
C00986,Sunroof
C00987,Bluetooth
C00987,Heated Seats
C00990,Bluetooth
C00990,Navigation
C00990,Sunroof
C00992,Cruise Control
C00992,Heated Seats
C00992,Navigation
C00994,Air Conditioning
C00994,Heated Seats
C00999,Bluetooth
C00999,Cruise Control
C01001,Air Conditioning
C01001,Cruise Control
C01001,Heated Seats
C01001,Navigation
C01004,Air Conditioning
C01006,Sunroof
C01009,Heated Seats
C01009,Sunroof
C01013,Air Conditioning
C01013,Bluetooth
C01013,Navigation
C01013,Sunroof
C01024,Air Conditioning
C01024,Cruise Control
C01024,Navigation
C01025,Cruise Control
C01031,Sunroof
C01033,Cruise Control
C01033,Navigation
C01034,Air Conditioning
C01034,Bluetooth
C01034,Cruise Control
C01034,Heated Seats
