CarID,ModelID,Engine_Size,Fuel_Type,Year_of_Manufacturing,Mileage,Price,DealerName
C00001,4,1.0,Petrol,2002,127300,3074,"Kramer, Alvarez and Davis"
C00002,7,4.0,Petrol,2016,57850,49704,Smith-Houston
C00005,15,1.0,Petrol,2006,127869,4101,"Black, Black and Bishop"
C00007,6,1.8,Diesel,2010,86686,14350,Sandoval Group
C00008,10,1.4,Hybrid,2015,30663,30297,Anderson-Rivas
C00012,3,2.0,Petrol,1990,293666,719,Day LLC
C00014,11,2.2,Petrol,2007,79393,16026,"Black, Black and Bishop"
C00024,10,1.0,Hybrid,1990,238571,961,Wilson and Sons
C00034,15,1.6,Petrol,2016,52409,17257,Collins and Sons
C00039,15,1.6,Petrol,2008,129588,5848,Sandoval Group
C00041,5,2.0,Petrol,1995,91173,5181,Johnson and Sons
C00044,14,1.4,Diesel,1995,235594,1439,Collins and Sons
C00050,12,1.4,Petrol,2010,43111,12928,Allen-Jones
C00053,15,1.0,Diesel,2000,207339,1480,"Walker, Baxter and Daniel"
C00062,15,1.4,Diesel,2010,45193,11881,Smith Ltd
C00063,15,1.6,Petrol,1997,87723,3840,Vasquez-Murphy
C00071,5,2.0,Petrol,1991,272161,854,Smith LLC
C00072,14,1.6,Diesel,1994,179361,2371,Aguilar LLC
C00076,6,1.4,Diesel,2000,128137,4771,Little-Mcconnell
C00081,11,1.8,Hybrid,1999,162425,5396,Lucas PLC
C00084,4,1.2,Petrol,1995,183332,1330,"Perez, Gordon and Thomas"
C00087,14,1.8,Diesel,1991,155034,2526,Turner-Walton
C00091,5,1.0,Petrol,1985,223615,633,Peterson-Ewing
C00097,5,2.0,Petrol,2002,180048,4086,Sandoval Group
C00099,14,1.6,Diesel,2018,22122,36634,Johnson-Turner
C00104,5,1.8,Diesel,1989,297635,585,Smith Ltd
C00108,14,1.4,Diesel,2020,21413,39310,Nelson-Miller
C00109,3,2.2,Petrol,2018,32319,40706,Wilcox LLC
C00110,11,2.4,Petrol,2021,6829,66031,Brewer-Sosa
C00111,15,1.6,Petrol,2010,108111,7878,Little-Mcconnell
C00117,8,3.5,Petrol,2003,107705,24378,Hancock PLC
C00121,10,1.4,Hybrid,2001,152067,5040,Wilson and Sons
C00129,15,1.0,Petrol,1998,97043,3036,Adams-Kelly
C00131,14,1.8,Petrol,2008,84855,12800,Brown Group
C00135,13,1.6,Petrol,2001,140596,3988,"Brooks, Thomas and Davis"
C00145,10,1.0,Hybrid,2012,46972,19023,Anderson-Rivas
C00148,14,1.4,Diesel,2008,112309,9705,Villa and Sons
C00151,5,1.4,Petrol,2005,97979,8039,"Davis, Guerrero and Vasquez"
C00153,14,2.0,Petrol,1993,158259,2822,Johnson-Turner
C00158,2,3.0,Petrol,2008,20860,27342,"Walker, Baxter and Daniel"
C00168,11,1.8,Hybrid,2021,8120,68163,"Davis, Guerrero and Vasquez"
C00172,15,1.0,Petrol,1998,224106,1062,"Hawkins, Stark and Campos"
C00174,11,2.2,Hybrid,2012,91325,24685,"Black, Black and Bishop"
C00177,10,1.0,Hybrid,2006,103766,8671,Villa and Sons
C00181,9,2.6,Diesel,2019,20147,76182,Allen-Jones
C00182,15,1.2,Diesel,2018,37411,19649,"Simmons, Fields and Wolf"
C00183,12,1.2,Petrol,2004,179016,2914,Schroeder and Sons
C00187,5,1.0,Diesel,2006,120770,6429,Smith LLC
C00195,13,1.4,Diesel,2001,136439,4049,"Hawkins, Stark and Campos"
C00196,15,1.2,Petrol,2001,110779,3670,Warner-Payne
C00197,13,2.0,Petrol,1991,188856,1528,"Proctor, Villarreal and Hurley"
C00199,5,2.0,Diesel,1994,162098,2930,Aguilar LLC
C00200,6,1.6,Diesel,2013,79521,17370,Ingram-Mitchell
C00201,6,1.8,Diesel,2011,97523,14195,Lucas PLC
C00205,12,1.0,Petrol,2002,227469,1517,"Bailey, Grant and Carter"
C00211,14,1.6,Diesel,1999,207639,2584,Villa and Sons
C00215,14,1.6,Petrol,2012,53390,19428,Smith LLC
C00217,4,1.0,Petrol,2002,184586,1916,"Wagner, Cobb and Jenkins"
C00218,4,1.2,Petrol,2004,160915,2933,Brown Group
C00220,12,1.4,Hybrid,2003,181179,3468,Allen-Jones
C00226,15,1.0,Petrol,2014,24579,14089,"Proctor, Villarreal and Hurley"
C00227,11,1.8,Petrol,2021,21354,52908,"Brooks, Thomas and Davis"
C00232,13,1.6,Petrol,1990,137231,1967,Allen-Jones
C00234,11,2.0,Hybrid,1995,142544,5129,Ingram-Mitchell
C00240,11,1.8,Hybrid,2017,15473,50215,Gonzales-Morales
C00242,4,1.0,Petrol,1992,183342,994,"Hawkins, Stark and Campos"
C00249,6,1.4,Diesel,2006,159969,5504,Brewer-Sosa
C00251,6,1.4,Diesel,2018,18334,33119,"Kramer, Alvarez and Davis"
C00252,15,1.2,Petrol,1995,175506,1460,Perez Group
C00253,10,1.8,Hybrid,1985,235671,949,Richard-George
C00262,6,1.8,Diesel,2016,16626,33172,Smith LLC
C00263,6,1.4,Diesel,1998,155019,3364,Schroeder and Sons
C00264,10,1.4,Hybrid,1996,188308,2658,Nelson-Miller
C00267,15,2.0,Petrol,1992,258967,731,Ingram-Mitchell
C00268,13,1.2,Hybrid,2000,168963,3069,Smith-Houston
C00269,5,2.0,Diesel,1993,90439,4786,Day LLC
C00274,5,2.0,Petrol,2014,39083,25884,Nelson-Miller
C00275,14,2.0,Petrol,2002,73945,9749,Macdonald Inc
C00278,15,1.4,Petrol,1998,126188,2884,Perez Group
C00279,8,3.0,Petrol,1990,178957,5344,Richard-George
C00280,6,1.6,Diesel,1996,118258,4217,"Perez, Gordon and Thomas"
C00281,12,1.4,Hybrid,2004,100476,7076,"Hawkins, Stark and Campos"
C00284,8,2.6,Petrol,2003,130068,17702,Wilson and Sons
C00286,13,1.8,Petrol,2010,70562,12942,Smith-Houston
C00290,15,1.6,Diesel,2000,85142,5015,Smith LLC
C00293,5,1.0,Petrol,2018,19640,26712,Mclean-Miller
C00298,1,4.4,Petrol,2019,20736,118474,Johnson-Wilkinson
C00305,14,1.6,Petrol,1993,131899,3125,"Bailey, Grant and Carter"
C00309,10,1.0,Hybrid,2007,61357,12446,Anderson-Rivas
C00310,12,1.2,Hybrid,1997,13000,7167,Anderson-Rivas
C00312,12,1.4,Petrol,2010,52847,12174,Richard-George
C00313,14,1.6,Diesel,2009,100782,12083,Smith-Houston
C00314,15,1.0,Petrol,1999,193458,1491,Brewer-Sosa
C00315,12,1.2,Petrol,1997,174912,1892,Collins and Sons
C00317,10,1.0,Hybrid,1993,269373,882,"Walker, Baxter and Daniel"
C00318,2,2.0,Diesel,2009,129764,11999,Brown Group
C00323,13,1.6,Petrol,2001,205054,2309,Brown Inc
C00324,15,1.0,Petrol,1993,159497,1335,"Kramer, Alvarez and Davis"
C00325,5,1.8,Petrol,2002,166994,4332,Cruz-Castro
C00327,6,1.6,Diesel,2015,59927,22621,"Wagner, Cobb and Jenkins"
C00331,6,1.6,Petrol,2010,80723,13432,Johnson and Sons
C00333,5,1.6,Petrol,1995,84529,4856,Smith LLC
C00342,1,4.4,Petrol,2011,78714,48487,Adams-Kelly
C00343,14,2.0,Diesel,2011,73733,18680,Mclean-Miller
C00344,6,1.8,Diesel,1997,242305,1659,"Perez, Gordon and Thomas"
C00345,6,1.8,Diesel,2001,166344,4239,"Carlson, Whitaker and Barrett"
C00352,14,1.6,Petrol,1991,16000,5963,"Simmons, Fields and Wolf"
C00354,13,1.4,Petrol,2011,87947,10825,"Simmons, Fields and Wolf"
C00355,6,1.6,Diesel,2016,40113,27354,"Walker, Baxter and Daniel"
C00370,14,1.4,Diesel,1989,371762,264,"Davis, Guerrero and Vasquez"
C00374,13,2.0,Diesel,2016,11234,30509,Day LLC
C00375,15,1.6,Petrol,2010,97296,8531,Brewer-Sosa
C00378,3,2.2,Petrol,1997,250431,1806,Brown Inc
C00384,1,5.0,Petrol,1999,82222,22668,Johnson and Sons
C00386,15,1.6,Petrol,2012,66103,12102,Guzman-Logan
C00397,10,1.8,Hybrid,1992,231649,1569,"Bailey, Grant and Carter"
C00399,12,1.2,Petrol,2012,102514,9168,Johnson and Sons
C00400,15,1.0,Petrol,1997,134735,2132,Carr-Shaw
C00408,14,2.0,Diesel,2003,106761,8665,Brown Inc
C00409,4,1.4,Petrol,1992,280925,485,"Carlson, Whitaker and Barrett"
C00410,4,1.2,Petrol,2018,29268,19119,Perez Group
C00417,4,1.0,Petrol,2005,165149,2762,Cruz-Castro
C00420,8,2.2,Petrol,1998,172529,8241,Richard-George
C00424,5,1.0,Petrol,2005,102319,6582,"Davis, Guerrero and Vasquez"
C00427,12,1.2,Hybrid,2011,68974,13024,Day LLC
C00429,10,1.4,Hybrid,2003,91908,9156,Smith Ltd
C00430,15,1.2,Petrol,2009,115991,6014,Johnson-Turner
C00431,14,2.0,Diesel,2003,99554,9137,Macdonald Inc
C00432,13,2.0,Petrol,1993,210355,1445,Day LLC
C00437,4,1.2,Petrol,2003,144351,3143,Adams-Kelly
C00438,15,1.4,Petrol,1991,130465,1749,"Perez, Gordon and Thomas"
C00439,5,1.6,Petrol,1992,289432,694,"Proctor, Villarreal and Hurley"
C00442,10,1.4,Hybrid,1992,187590,2049,Carr-Shaw
C00445,10,1.8,Hybrid,1988,206162,1512,Adams-Kelly
C00448,13,1.8,Hybrid,1993,206465,1702,Wilcox LLC
C00453,5,1.6,Diesel,2006,83961,10659,Nelson-Miller
C00455,11,1.8,Hybrid,2014,63889,30785,Allen-Jones
C00458,13,1.4,Hybrid,2003,166709,4126,Lucas PLC
C00461,7,2.0,Petrol,2014,91341,24511,Guzman-Logan
C00463,1,4.4,Petrol,1994,179812,7091,Wilson and Sons
C00465,9,3.5,Diesel,1998,83442,14668,Smith LLC
C00466,14,1.6,Diesel,2002,135733,5800,Gonzales-Morales
C00469,2,2.0,Diesel,2016,47735,34147,Johnson and Sons
C00470,7,4.0,Petrol,1995,154629,5991,Johnson-Wilkinson
C00471,13,1.6,Diesel,1998,161333,2893,Vasquez-Murphy
C00472,4,1.2,Petrol,1998,156867,2033,Lucas PLC
C00476,6,1.6,Diesel,1993,138312,2951,Perez Group
C00477,12,1.2,Petrol,2020,20558,26565,Johnson-Turner
C00480,6,1.8,Diesel,2012,39923,22247,"Kramer, Alvarez and Davis"
C00481,7,2.4,Petrol,1998,252380,2395,"Kramer, Alvarez and Davis"
C00483,5,1.4,Petrol,1993,106066,3403,"Kramer, Alvarez and Davis"
C00485,11,2.4,Hybrid,2002,178115,6664,"Wagner, Cobb and Jenkins"
C00492,11,2.4,Hybrid,2010,52925,29212,"Perez, Gordon and Thomas"
C00495,6,1.8,Diesel,2009,32884,18987,"Bailey, Grant and Carter"
C00499,12,1.4,Hybrid,2021,10276,38901,"Proctor, Villarreal and Hurley"
C00500,6,1.8,Diesel,2013,5000,28875,"Black, Black and Bishop"
C00502,11,2.2,Hybrid,2007,69206,20606,"Carlson, Whitaker and Barrett"
C00506,14,2.0,Petrol,2001,78868,8819,"Brooks, Thomas and Davis"
C00509,13,1.6,Hybrid,2003,110332,6919,Richard-George
C00510,13,1.4,Diesel,1991,289646,534,Mclean-Miller
C00513,6,1.8,Diesel,2015,50432,25483,Brown Group
C00517,11,2.2,Hybrid,2015,28056,45312,"Carlson, Whitaker and Barrett"
C00518,14,2.0,Diesel,1985,287515,544,Smith LLC
C00522,12,1.4,Petrol,2002,149944,3514,Smith Ltd
C00524,11,2.4,Hybrid,2007,112049,15867,Vasquez-Murphy
C00533,9,4.0,Petrol,2002,90474,18556,Brown Inc
C00537,12,1.0,Hybrid,2005,74649,7671,Miller-Hoover
C00539,10,1.4,Hybrid,1993,196617,2024,Warner-Payne
C00543,10,1.0,Hybrid,1992,176604,1903,Brown Group
C00544,11,1.8,Hybrid,2009,68833,21350,Ingram-Mitchell
C00551,11,2.2,Hybrid,2016,28810,48228,Sandoval Group
C00555,6,1.8,Diesel,2019,30787,37433,Johnson-Wilkinson
C00559,12,1.4,Petrol,2017,30382,22227,Brown Inc
C00565,5,1.6,Petrol,2018,45204,29130,Brewer-Sosa
C00567,13,1.6,Petrol,2011,69205,13162,"Kramer, Alvarez and Davis"
C00574,12,1.0,Hybrid,2019,28087,26099,Day LLC
C00575,15,1.2,Petrol,2007,63991,7614,"Simmons, Fields and Wolf"
C00579,13,2.0,Petrol,1991,264040,774,Gonzales-Morales
C00580,4,1.4,Petrol,1998,117616,3002,Brown Group
C00582,10,1.4,Hybrid,2016,52086,28468,Anderson-Rivas
C00585,11,2.2,Petrol,2005,101278,12003,Nelson-Miller
C00586,5,1.6,Hybrid,2016,27516,33957,"Walker, Baxter and Daniel"
C00587,13,2.0,Diesel,2018,28407,31722,Vasquez-Murphy
C00589,15,2.0,Petrol,1988,160189,1345,Anderson-Rivas
C00594,14,2.0,Diesel,2012,99767,16624,"Black, Black and Bishop"
C00597,11,2.0,Hybrid,2000,115704,8835,"Davis, Guerrero and Vasquez"
C00601,6,1.8,Diesel,2014,38215,25681,Allen-Jones
C00609,8,3.0,Petrol,2007,160305,19433,Carr-Shaw
C00610,12,1.0,Hybrid,1996,35867,5384,Nelson-Miller
C00617,10,1.4,Hybrid,2005,82356,11191,Guzman-Logan
C00619,3,2.0,Petrol,1991,241081,1258,Brown Inc
C00622,2,2.0,Petrol,1985,142992,2076,"Hawkins, Stark and Campos"
C00624,1,4.4,Petrol,1998,161830,10780,Brewer-Sosa
C00625,5,1.4,Petrol,2018,28024,30158,Brewer-Sosa
C00626,3,3.0,Petrol,1996,156682,4509,"Davis, Guerrero and Vasquez"
C00629,5,2.0,Petrol,2006,81822,11520,Johnson and Sons
C00631,3,2.2,Petrol,2019,28754,44415,Brewer-Sosa
C00632,14,1.4,Diesel,2004,80705,9344,Smith-Houston
C00641,14,1.6,Diesel,1995,206056,2007,"Black, Black and Bishop"
C00645,13,1.2,Diesel,2014,39321,17658,Guzman-Logan
C00647,11,2.0,Hybrid,2012,59725,29179,Brewer-Sosa
C00648,11,1.8,Hybrid,2008,102206,15805,Brown Inc
C00649,5,2.0,Diesel,2010,83311,15630,Gonzales-Morales
C00652,11,2.2,Hybrid,1992,199804,2713,"Davis, Guerrero and Vasquez"
C00656,5,1.4,Petrol,1994,118545,3311,Anderson-Rivas
C00658,10,1.0,Hybrid,2006,84312,9973,Smith Ltd
C00660,12,1.4,Petrol,1986,183150,914,Peterson-Ewing
C00665,13,1.4,Petrol,1991,206254,1097,Day LLC
C00673,15,1.6,Petrol,2001,129115,3681,Aguilar LLC
C00674,11,2.0,Hybrid,2017,43027,45206,Gonzales-Morales
C00677,10,1.4,Hybrid,2018,29828,37183,Miller-Hoover
C00682,15,1.4,Petrol,1987,219722,627,Anderson-Rivas
C00683,11,2.2,Petrol,2020,20840,54875,"Walker, Baxter and Daniel"
C00687,12,1.2,Hybrid,2016,36087,22347,Brown Inc
C00703,2,3.0,Diesel,2007,88368,17529,Wilson and Sons
C00709,12,1.2,Petrol,2008,97903,7263,"Walker, Baxter and Daniel"
C00710,12,1.2,Petrol,1997,270963,797,Richard-George
C00711,6,1.6,Diesel,2013,76733,17705,Smith-Houston
C00724,2,2.4,Diesel,2006,98950,13593,"Hawkins, Stark and Campos"
C00725,14,1.4,Diesel,2009,132842,8852,Villa and Sons
C00726,15,1.4,Petrol,1986,260477,404,Hancock PLC
C00730,4,1.0,Petrol,1992,47774,2762,Lucas PLC
C00734,13,1.8,Diesel,1996,196032,1995,Smith Ltd
C00735,9,3.0,Petrol,2013,39488,46753,Peterson-Ewing
C00737,12,1.4,Hybrid,2019,20700,32186,Gonzales-Morales
C00739,15,1.0,Petrol,2018,38340,16989,Peterson-Ewing
C00741,3,2.0,Petrol,2003,93076,9615,Perez Group
C00742,10,1.4,Hybrid,2010,74177,16520,"Proctor, Villarreal and Hurley"
C00743,11,1.8,Hybrid,1995,149567,4596,"Proctor, Villarreal and Hurley"
C00746,15,1.0,Petrol,2020,22940,21213,Nelson-Miller
C00747,14,1.8,Diesel,2011,37534,22303,Vasquez-Murphy
C00748,11,1.8,Hybrid,2011,94925,20356,Vasquez-Murphy
C00749,12,1.0,Hybrid,1992,174037,1496,Brown Inc
C00751,4,1.4,Petrol,2013,32544,14520,Johnson-Wilkinson
C00755,14,1.8,Petrol,2005,80034,10836,Peterson-Ewing
C00757,6,2.0,Diesel,2019,36447,38177,Little-Mcconnell
C00759,12,1.0,Petrol,2010,58886,9901,Richard-George
C00769,10,1.4,Hybrid,1991,231525,1296,"Proctor, Villarreal and Hurley"
C00771,4,1.2,Petrol,2002,170034,2377,Perez Group
