ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S00001,C00001,27/08/2025,Major Service,396.0
S00002,C00001,20/03/2022,Oil Change,283.0
S00003,C00002,10/06/2023,Wheel Alignment,440.0
S00005,C00002,30/09/2023,Air Filter Replacement,498.0
S00025,C00007,09/01/2023,Coolant Flush,227.0
S00041,C00012,14/10/2020,Clutch Replacement,171.0
S00042,C00012,30/03/2025,Wheel Alignment,376.0
S00048,C00014,10/02/2023,Coolant Flush,261.0
S00071,C00024,14/09/2021,Battery Replacement,417.0
S00105,C00034,31/10/2024,Transmission Check,303.0
S00119,C00039,17/03/2022,Transmission Check,493.0
S00120,C00039,01/06/2022,Major Service,495.0
S00121,C00039,18/04/2023,Oil Change,469.0
S00136,C00044,26/04/2022,Oil Change,402.0
S00155,C00050,05/03/2024,Transmission Check,69.0
S00157,C00050,09/10/2020,Tire Replacement,202.0
S00158,C00050,10/10/2024,Brake Replacement,102.0
S00165,C00053,15/07/2022,Major Service,198.0
S00166,C00053,25/11/2021,Clutch Replacement,256.0
S00192,C00062,01/09/2020,Battery Replacement,498.0
S00193,C00063,31/08/2021,Suspension Check,223.0
S00194,C00063,11/11/2023,Battery Replacement,94.0
S00195,C00063,19/09/2023,Transmission Check,430.0
S00215,C00071,23/09/2022,Brake Replacement,351.0
S00216,C00071,25/07/2021,Brake Replacement,361.0
S00217,C00071,15/06/2024,Wheel Alignment,129.0
S00218,C00072,29/09/2024,Brake Replacement,123.0
S00229,C00076,02/04/2025,Transmission Check,401.0
S00245,C00081,14/08/2022,Battery Replacement,429.0
S00247,C00081,20/09/2024,Oil Change,413.0
S00248,C00081,28/02/2025,Suspension Check,114.0
S00291,C00097,25/04/2024,Major Service,374.0
S00295,C00099,27/06/2024,Brake Replacement,392.0
S00305,C00104,24/07/2025,Clutch Replacement,434.0
S00317,C00109,03/05/2024,Wheel Alignment,70.0
S00318,C00109,06/11/2021,Suspension Check,496.0
S00320,C00109,31/03/2023,Coolant Flush,389.0
S00321,C00110,28/08/2024,Battery Replacement,500.0
S00322,C00110,12/09/2024,Transmission Check,240.0
S00325,C00111,09/06/2023,Transmission Check,151.0
S00326,C00111,30/01/2023,Major Service,412.0
S00345,C00117,22/04/2021,Spark Plug Replacement,458.0
S00346,C00117,24/06/2023,Suspension Check,56.0
S00353,C00121,07/04/2024,Major Service,492.0
S00382,C00129,04/10/2021,Spark Plug Replacement,188.0
S00383,C00129,24/05/2024,Brake Replacement,420.0
S00384,C00129,02/08/2023,Tire Replacement,187.0
S00388,C00131,11/08/2025,Air Filter Replacement,430.0
S00389,C00131,02/08/2022,Suspension Check,136.0
S00390,C00131,01/03/2025,Battery Replacement,209.0
S00398,C00135,05/03/2021,Suspension Check,316.0
S00428,C00145,27/02/2025,Transmission Check,133.0
S00440,C00148,10/06/2025,Transmission Check,84.0
S00446,C00151,02/07/2022,Spark Plug Replacement,187.0
S00447,C00151,08/08/2023,Coolant Flush,381.0
S00454,C00153,14/12/2021,Spark Plug Replacement,354.0
S00469,C00158,06/01/2023,Transmission Check,60.0
S00503,C00168,25/10/2021,Wheel Alignment,443.0
S00517,C00172,05/12/2022,Major Service,264.0
S00518,C00172,23/04/2023,Brake Replacement,384.0
S00539,C00177,12/04/2025,Oil Change,260.0
S00540,C00177,18/06/2021,Brake Replacement,96.0
S00542,C00177,02/06/2022,Brake Replacement,295.0
S00555,C00181,19/06/2025,Transmission Check,409.0
S00556,C00181,05/01/2025,Major Service,456.0
S00557,C00181,15/11/2024,Spark Plug Replacement,427.0
S00559,C00182,24/07/2023,Coolant Flush,383.0
S00572,C00187,14/12/2020,Suspension Check,469.0
S00595,C00195,09/05/2025,Wheel Alignment,312.0
S00596,C00195,05/06/2023,Battery Replacement,248.0
S00599,C00195,21/07/2021,Clutch Replacement,256.0
S00635,C00211,01/06/2021,Air Filter Replacement,487.0
S00637,C00211,13/02/2025,Wheel Alignment,52.0
S00638,C00211,25/07/2021,Battery Replacement,259.0
S00649,C00215,12/03/2025,Brake Replacement,389.0
S00650,C00215,04/01/2024,Major Service,356.0
S00652,C00217,04/05/2022,Brake Replacement,248.0
S00653,C00217,07/10/2024,Oil Change,58.0
S00654,C00218,13/12/2022,Wheel Alignment,259.0
S00655,C00218,28/07/2023,Clutch Replacement,394.0
S00661,C00220,19/12/2023,Transmission Check,417.0
S00675,C00226,19/05/2025,Suspension Check,439.0
S00676,C00226,15/03/2023,Air Filter Replacement,198.0
S00677,C00226,07/09/2023,Spark Plug Replacement,487.0
S00693,C00232,19/11/2021,Coolant Flush,446.0
S00702,C00234,04/07/2023,Suspension Check,149.0
S00713,C00240,20/05/2025,Air Filter Replacement,247.0
S00714,C00240,06/12/2022,Suspension Check,87.0
S00717,C00242,19/06/2023,Suspension Check,132.0
S00737,C00249,22/03/2023,Battery Replacement,90.0
S00738,C00249,15/11/2024,Wheel Alignment,340.0
S00743,C00251,02/09/2023,Wheel Alignment,328.0
S00744,C00251,17/07/2023,Spark Plug Replacement,452.0
S00745,C00252,29/10/2024,Clutch Replacement,416.0
S00770,C00262,07/05/2025,Spark Plug Replacement,118.0
S00771,C00262,19/02/2023,Major Service,436.0
S00773,C00263,03/10/2024,Spark Plug Replacement,284.0
S00776,C00264,04/07/2024,Coolant Flush,391.0
S00777,C00264,08/11/2021,Tire Replacement,178.0
S00787,C00267,12/02/2022,Brake Replacement,161.0
S00788,C00267,18/04/2025,Major Service,116.0
S00790,C00268,24/09/2023,Tire Replacement,169.0
S00805,C00274,10/05/2025,Air Filter Replacement,309.0
S00808,C00274,09/05/2023,Air Filter Replacement,150.0
S00809,C00275,18/01/2025,Tire Replacement,248.0
